index,name,address,description,latitude,longitude,level
0,채석강,전라북도 부안군 변산면 격포리 301-1,",",35.6261008,126.4665009,3
1,직소폭포,전라북도 부안군 변산면 중계리 산95-10,",",35.6265882,126.5698042,3
2,변산해수욕장,전라북도 부안군 변산면 대항리,",",35.6803181,126.5311291,3
3,부안 수성당,전라북도 부안군 변산면 격포리 산35-17,",",0.0,0.0,3
4,변산마실길,전라북도 부안군 변산면 격포리,",",0.0,0.0,3
5,부안청자박물관(扶安靑瓷博物館),전라북도 부안군 유천리 보안면 798-4,",",0.0,0.0,3
6,채석강 해식동굴,전라북도 부안군 변산면 격포리 794-3,",",0.0,0.0,3
7,신재생에너지테마파크,전라북도 부안군 하서면 백련리 1107,",",35.710173,126.59724306046144,3
8,부안누에타운,전라북도 부안군 변산면 참뽕로 434-20,",",0.0,0.0,3
9,매창공원,전라북도 부안군 부안읍 서외리 567-3,",",35.7200403,126.7287293729792,3
10,줄포만갯벌생태공원,전라북도 부안군 줄포면 생태공원로 38,",",0.0,0.0,3
11,적벽강,전라북도 부안군 변산면 격포리,",",35.6382875,126.4642327,3
12,분옥담,전라북도 부안군 변산면 중계리,",",0.0,0.0,3
13,부안영상테마파크,전라북도 부안군 변산면 격포로 309-64,",",35.62205685,126.48378475397432,3
