,0,1,2
0,순창고추장민속마을,전라북도 순창군 순창읍 장류길 56-1,","
1,순창고추장익는 마을,전라북도 순창군 구림면 산내길 38,","
2,강천산군립공원매표소,전라북도 순창군 팔덕면 청계리 979-1,","
3,강천산군립공원,전라북도 순창군 팔덕면 강천산길 270,","
4,순창 발효소스토굴,전라북도 순창군 순창읍 민속마을길 61-59,","
5,향가유원지,전라북도 순창군 풍산면 대가리,","
6,채계산 출렁다리,전라북도 순창군 적성면 괴정리 산 30,","
7,추령장승촌,전라북도 순창군 복흥면 추령로 1792-12,","
8,강천사,전라북도 순창군 팔덕면 강천산길 270,","
9,구장군 폭포,전라북도 순창군 팔덕면 청계리 산287-1,","
10,용궐산 하늘길,전라북도 순창군 동계면 어치리 산101-1,","
11,순창장류박물관,전라북도 순창군 동계면 어치리 산101-1,","
12,회문산자연휴양림,전라북도 순창군 구림면 안정리 89-5,","
13,팔각정,전라북도 순창군 팔덕면 청계리,","
