,0,1,2
0,삼례문화예술촌,전라북도 완주군 삼례읍 삼례역로 81-13,","
1,위봉폭포,전라북도 완주군 소양면 대흥리,","
2,대둔산도립공원,전라북도 완주군 운주면 산북리 611-18,"이 넓은 산악 공원에서 하이킹과 등산을 하며 경관을 즐기거나 케이블카, 다리 등을 이용할 수 있습니다."
3,모악산관광단지,전라북도 완주군 구이면 원기리 1069-11,","
4,물고기마을,전라북도 완주군 이서면 반교리 682-6,","
5,운장산계곡,전라북도 완주군 동상면 신월리,","
6,고산자연휴양림,전라북도 완주군 고산면 오산리 산43-1,","
7,안덕건강힐링체험마을,전라북도 완주군 구이면 장파길 72,","
8,대한민국 술테마박물관,전라북도 완주군 구이면 덕천전원길 232-58,","
9,위봉사,전라북도 완주군 소양면 대흥리 21,","
10,완주 화암사 우화루,전라북도 완주군 경천면 화암사길 271,","
11,창포마을안티에이징센터,전라북도 완주군 고산면 대아저수로 385,","
12,대아 수목원,전라북도 완주군 고산면 대아저수로 385,","
13,전북도립미술관,전라북도 완주군 구이면 모악산길 111-6,","
