index,name,address,description,latitude,longitude,level
0,성당포구마을,전라북도 익산시 성당면 성당리 425,",",0.0,0.0,4
1,국립익산박물관,전라북도 익산시 금마면 미륵사지로 362,",",36.01082635,127.02748159260103,4
2,웅포관광지,전라북도 익산시 웅포면 웅포리,",",36.0664182,126.87692237894608,4
3,왕궁리유적,전라북도 익산시 왕궁면 왕궁리 산80-1,",",35.9736104,127.0550154270473,4
4,마한박물관,전라북도 익산시 금마면 동고도리 534-3,",",0.0,0.0,4
5,익산 미륵사지,전라북도 익산시 금마면 기양리 97,7세기에 창건하고 현재 복원해 높이 14m가 넘는 6층 석탑입니다.,36.01224045,127.03055855292592,4
6,익산 문화예술의거리,전라북도 익산시 중앙동1가 91,",",0.0,0.0,4
7,백제왕궁박물관,전라북도 익산시 왕궁면 궁성로 666,",",0.0,0.0,4
8,수덕호,전라북도 익산시 신동,",",35.9695728,126.9559798343598,4
9,익산보석박물관,전라북도 익산시 왕궁면 호반로 8,",",35.9907421,127.1022676,4
10,배산체육공원,전라북도 익산시 모현동2가 186-1,",",35.961381700000004,126.94064429101064,4
11,화석전시관,전라북도 익산시 모현동2가 186-1,",",0.0,0.0,4
12,익산 쌍릉,전라북도 익산시 석왕동 산55,",",0.0,0.0,4
13,천호동굴,전라북도 익산시 여산면 호산리,",",0.0,0.0,4
