index,name,address,description,latitude,longitude,level
0,임실치즈마을,전라북도 임실군 임실읍 치즈마을1길 4,",",0.0,0.0,3
1,임실치즈테마파크,전라북도 임실군 성수면 도인2길 50,",",0.0,0.0,3
2,사선대관광지,전라북도 임실군 관촌면 사선6길 85,",",0.0,0.0,3
3,국사봉전망대,전라북도 임실군 운암면 국사봉로 624,",",0.0,0.0,3
4,옥정호,전라북도 임실군 운암면 입석리 마암리 374-8(물안개길)낚시터,",",35.596187,127.11201826349318,3
5,임실 상이암 부도,전라북도 임실군 성수면 성수리,",",0.0,0.0,3
6,오수의견공원,전라북도 임실군 오수면 오수리 33,",",0.0,0.0,3
7,요산공원,전라북도 임실군 운암면 입석리 490-15,",",0.0,0.0,3
8,왜가리서식지,전라북도 임실군 임실읍 성가리,",",0.0,0.0,3
9,붕어섬,전라북도 임실군 운암면 용운리 261-9,",",36.3898986,127.50993828808863,3
10,세심자연휴양림,전라북도 임실군 삼계면 임삼로 485,",",35.518998,127.250855,3
11,임실 진구사지 석등,전라북도 임실군 삼계면 임삼로 485,",",0.0,0.0,3
12,임실 이도리 미륵불상,전라북도 임실군 임실읍 이도리 210-2,",",0.0,0.0,3
13,임실오수망루,전라북도 임실군 오수면 오수리 348-6,",",0.0,0.0,3
