,0,1,2
0,뜬봉샘생태공원,전라북도 장수군 장수읍 수분리 587-1,","
1,장수 논개 수상레저(수상스키장),전라북도 장수군 장계면 대곡리 60-2,","
2,와룡자연휴양림,전라북도 장수군 천천면 비룡로 632,","
3,방화동 가족휴가촌,전라북도 장수군 번암면 방화동로 778,","
4,대곡 관광지,전라북도 장수군 장계면 대곡리 940,","
5,논개생가,전라북도 장수군 장수읍 논개사당길 41,","
6,의암사,전라북도 장수군 장수읍 논개사당길 41,","
7,장수향교,전라북도 장수군 장수읍 장수리 254-1,","
8,장수누리파크,전라북도 장수군 장수읍 논개사당길 65,","
9,장수물빛공원,전라북도 장수군 번암면 죽림리,","
10,뜬봉샘,전라북도 장수군 장수읍 수분리 산109,","
11,방화동자연휴양림,전라북도 장수군 번암면 방화동로 778,","
12,덕산계곡(방화동 생태길),전라북도 장수군 번암면 방화동로 778,","
13,(주)내추럴존,전라북도 장수군 천천면 연평리 293,","
