,0,1,2
0,전주 한옥마을,전라북도 전주시 완산구 풍남동3가 기린대로 99,"전통 한옥, 서예 박물관, 전통술 박물관이 있는 문화 마을입니다."
1,덕진공원,전라북도 전주시 덕진구 덕진동1가 권삼득로 390,호수의 연꽃과 나무다리를 건너면 만날 수 있는 화려한 탑으로 잘 알려진 고요한 정원입니다.
2,경기전,전라북도 전주시 완산구 태조로 44,1410년에 건축된 이 유명한 사원에는 역사적인 전시물과 왕의 초상화가 전시된 박물관이 있습니다.
3,자만벽화마을,전라북도 전주시 한옥레일바이크,언덕 위 집과 좁은 골목길에 다양한 만화 스타일의 벽화가 그려진 마을입니다.
4,청연루,전라북도 전주시 완산구 동서학동 940-2,","
5,전주동물원,전라북도 전주시 덕진구 덕진동1가 소리로 68,","
6,호남제일문,전라북도 전주시 덕진구 여의동,","
7,전주향교,전라북도 전주시 완산구 향교길 139,"건물 여러 채가 있는 조선 시대 교육 시설로, 거대한 은행나무로 둘러싸여 있습니다."
8,전주한옥 레일바이크,전라북도 전주시 덕진구 우아동1가 동부대로 420 한옥레일바이크,","
9,객리단길,전라북도 전주시 완산구 중앙동2가 10-1,","
10,전동성당,전라북도 전주시 완산구 태조로 51,1908~1914년에 건축된 이 역사적인 로마네스크 양식의 교회에는 한국 가톨릭 순교자 동상이 있습니다.
11,Visit jeonju,전라북도 전주시 완산구 서노송동 568-1 KR,","
12,한국도로공사 전주수목원,전라북도 전주시 덕진구 반월동 848,","
13,전주 풍패지관,전라북도 전주시 완산구 충경로 59,","
