index,name,address,description,latitude,longitude,level
0,무궁화학습원,충청남도 계룡시 신도안면 용동리,",",0.0,0.0,1
1,두마신원재,충청남도 계룡시 두마면 왕대2길 43,",",0.0,0.0,1
2,계룡문 雞龍門,충청남도 계룡시 두마면 농소리 17,",",0.0,0.0,1
3,숭산 국제선원 무상사,충청남도 계룡시 엄사면 향적산길 129,",",0.0,0.0,1
4,계룡산국립공원 동학사지구,충청남도 공주시 반포면 학봉리 777,",",0.0,0.0,1
5,괴목정공원,충청남도 계룡시 신도안면 용동리 11번지,",",0.0,0.0,1
6,두계천교,충청남도 계룡시 두마면 왕대리,",",0.0,0.0,1
7,이심원충신정려현판,충청남도 계룡시 금암동 281-4,",",0.0,0.0,1
8,향적산 사방댐 정자,충청남도 계룡시 엄사면 향적산길,",",0.0,0.0,1
9,신도안문화공원,충청남도 계룡시 신도안면 남선리 199,",",36.2977169,127.25062378193142,1
10,계룡산에스케이,엄사면 엄사리 454-1번지 계룡시 충청남도 KR,",",0.0,0.0,1
11,수락계곡,충청남도 논산시 벌곡면 수락리,",",36.137236,127.32004,1
12,롯데관광,충청남도 논산시 벌곡면 수락리,",",0.0,0.0,1
13,계룡산 녹색농촌 체험마을 승마체험장,충청남도 계룡시 엄사면 배울길 97 (엄사면),",",0.0,0.0,1
