index,name,address,description,latitude,longitude,level
0,금산 월영산 출렁다리,충청남도 금산군 제원면 천내리 168-5,",",0.0,0.0,3
1,12폭포,충청남도 금산군 남이면 구석리,",",36.01531,127.4798707,3
2,청강수계곡,충청남도 금산군 진산면 삼가리,",",0.0,0.0,3
3,금산산림문화타운,충청남도 금산군 남이면 건천리 580,",",0.0,0.0,3
4,금산역사공원,충청남도 금산군 금산읍 상리 17-1,",",0.0,0.0,3
5,칠백의총,충청남도 금산군 금성면 의총길 50,",",36.130599200000006,127.49275948921144,3
6,금산 요광리 은행나무,충청남도 금산군 추부면 요광리 329-8,",",0.0,0.0,3
7,금산다락원 생명의집,충청남도 금산군 금성면 양전리 67-5,",",0.0,0.0,3
8,원골유원지,충청남도 금산군 제원면,",",0.0,0.0,3
9,개삼터 테마공원,충청남도 금산군 남이면 개삼로,",",0.0,0.0,3
10,금강솔바람길,충청남도 금산군 제원면 저곡리 12-1,",",0.0,0.0,3
11,천태산 신안사,충청남도 금산군 제원면 신안리 52,",",0.0,0.0,3
12,적벽강,충청남도 금산군 제원면 신안리 52,",",35.6382875,126.4642327,3
13,하늘물빛정원,충청남도 금산군 추부면 검한1길 156,",",36.2242568,127.48352752856542,3
