index,name,address,description,latitude,longitude,level
0,수락계곡,충청남도 논산시 벌곡면 수락리,",",36.137236,127.32004,4
1,탑정호 출렁다리,충청남도 논산시 가야곡면 종연리 175-2,",",0.0,0.0,4
2,미내다리,충청남도 논산시 채운면 삼거리 541,",",36.1533089,127.030983,4
3,탑정호수변생태공원,충청남도 논산시 부적면 충곡리,",",0.0,0.0,4
4,관촉사,충청남도 논산시 관촉로1번길 25,",",36.1884477,127.1130245725876,4
5,선샤인스튜디오,충청남도 논산시 연무읍 황화정리 859-55 KR 선샤인스튜디오,",",0.0,0.0,4
6,강경 옥녀봉 공원,충청남도 논산시 강경읍 북옥리,",",0.0,0.0,4
7,백제군사박물관,충청남도 논산시 부적면 충곡로 311-54,",",36.192362,127.1811874,4
8,죽림서원,충청남도 논산시 강경읍 황산리 101,",",0.0,0.0,4
9,관촉사석조미륵보살입상,충청남도 논산시 관촉동 254,",",0.0,0.0,4
10,논산원목다리,충청남도 논산시 채운면 야화리 390,",",0.0,0.0,4
11,반야사,충청남도 논산시 채운면 야화리 390,",",37.4644739,126.72568159346828,4
12,온빛자연휴양림,충청남도 논산시 벌곡면 한삼천리 309,",",0.0,0.0,4
13,탑정호 둘레길 봄안개,충청남도 논산시 부적면 탑정리,",",0.0,0.0,4
