index,name,address,description,latitude,longitude,level
0,왜목마을,충청남도 당진시 석문면 교로리 844-25,대형 조각상과 갯벌이 있는 해변으로 조개잡이와 아름다운 일출이 유명합니다.,0.0,0.0,4
1,삽교호 관광지,충청남도 당진시 신평면 삽교천3길 100,",",0.0,0.0,4
2,삽교호 바다공원,충청남도 당진시 신평면 운정리,",",0.0,0.0,4
3,삽교호함상공원,충청남도 당진시 신평면 운정리 197-3,",",0.0,0.0,4
4,아미미술관,충청남도 당진시 시 순성면 남부로 753-4,",",0.0,0.0,4
5,당진 면천읍성,충청남도 당진시 면천면 성상리 821-6,",",0.0,0.0,4
6,당진 삽교호,충청남도 당진시 신평면 삽교천3길 72 (신평면),",",36.86205715,126.83618621497708,4
7,삼선산수목원,충청남도 당진시 삼선산수목원길 79,",",0.0,0.0,4
8,삽교호놀이동산,충청남도 당진시 시 신평면 삽교천3길 15,",",0.0,0.0,4
9,합덕제,충청남도 당진시 합덕읍 합덕리 348-3,",",0.0,0.0,4
10,순성벚꽃길,충청남도 당진시 시 오류동길 107,",",0.0,0.0,4
11,기지시줄다리기박물관,충청남도 당진시 시 오류동길 107,",",0.0,0.0,4
12,삽교천,충청남도 당진시 신평면 삽교천길,",",36.7008783,126.741502,4
13,당진 안국사지 석탑,충청남도 당진시 정미면 수당리,",",0.0,0.0,4
