index,name,address,description,latitude,longitude,level
0,백제문화단지,충청남도 부여군 규암면 백제문로 455,"백제 시대 생활을 보여주는 역사 공원으로 성, 탑, 절이 재건되어 있습니다.",36.307382,126.90724100201852,3
1,천정대 백제보,충청남도 부여군 부여읍 자왕리 531-15,",",0.0,0.0,3
2,성흥산 사랑나무,충청남도 부여군 임천면 지토리 성흥산성,",",0.0,0.0,3
3,국립부여박물관,충청남도 부여군 부여읍 금성로 5,향로와 불상 등 6세기 및 7세기 백제 왕국의 유물을 전시하는 박물관입니다.,36.27631135,126.91905100084372,3
4,부여서동요역사관광지,충청남도 부여군 충화면 가화리 279,",",0.0,0.0,3
5,부여군 사적관리소,충청남도 부여군 부여읍 부소로 35,",",0.0,0.0,3
6,구드래조각공원,충청남도 부여군 부여읍 구교리,",",0.0,0.0,3
7,궁남지 포룡정,충청남도 부여군 부여읍 동남리 117,",",0.0,0.0,3
8,정림사지박물관,충청남도 부여군 부여읍 동남리 364,",",36.27922865,126.9151939481585,3
9,부여관북리백제유적,충청남도 부여군 부여읍 관북리 33,",",0.0,0.0,3
10,백제왕릉원,충청남도 부여군 부여읍 왕릉로 61,",",36.27855315,126.9441881852182,3
11,생산소,충청남도 부여군 부여읍 왕릉로 61,",",0.0,0.0,3
12,정림사지 오층석탑,충청남도 부여군 부여읍 동남리 254,",",36.279342,126.91328815,3
13,백마강테마파크,충청남도 부여군 부여읍 군수리 225-3,",",0.0,0.0,3
