index,name,address,description,latitude,longitude,level
0,천수만,충청남도 서산시 부석면,",",36.51207025,126.43834499001366,4
1,서산버드랜드,충청남도 서산시 부석면 천수만로 655-73,",",36.6307149,126.3784113,4
2,해미읍성,충청남도 서산시 해미면 남문2로 143,1491년에 건설된 조선 시대 석조 요새로 한국 천주교의 성지입니다.,36.71315495,126.54909782605338,4
3,용비지,충청남도 서산시 운산면 신창리 171,",",36.7584671,126.57813257396288,4
4,개심사(開心寺),충청남도 서산시 운산면 개심사로 321-86,",",41.053701,129.5968386,4
5,간월암,충청남도 서산시 부석면 간월도리 16-11,",",36.60371955,126.41120533128375,4
6,서산아라메 1코스,충청남도 서산시 운산면 여미리 203-1,",",0.0,0.0,4
7,문수사(文殊寺),충청남도 서산시 운산면 태봉리 40,",",35.5319001,129.21438498390336,4
8,서산 보원사지,충청남도 서산시 운산면 용현리,",",0.0,0.0,4
9,서산 용현리 마애여래삼존상,충청남도 서산시 운산면 마애삼존불길 65-13,",",0.0,0.0,4
10,용유지(용비저수지),충청남도 서산시 운산면 용현리,",",0.0,0.0,4
11,내아,충청남도 서산시 운산면 용현리,",",37.34803375,127.95056515187972,4
12,서산동부전통시장,충청남도 서산시 시장3길 7-2,",",0.0,0.0,4
13,망일사,충청남도 서산시 대산읍 대산리 132-1,",",36.9377918,126.44687642376482,4
