,0,1,2
0,장항스카이워크,충청남도 서천군 장항읍 장항산단로34번길 74-45,","
1,서천판교마을,충청남도 서천군 판교면 종판로887번길,","
2,금강하구둑관광단지,충남 서천군 마서면 당선리 금강하구둑철새도래지,","
3,월하성어촌체험마을,충청남도 서천군 서면 월하성길 96,","
4,기벌포 해전전망대,충청남도 서천군 장항읍 송림리 762-34,","
5,국립해양생물자원관,충청남도 서천군 장항읍 장산로 101번길 75 KR,","
6,장항송림산림욕장,충청남도 서천군 장항읍 송림리 65,","
7,마량리동백나무숲,충청남도 서천군 서면 마량리 산 14,","
8,국립생태원,충청남도 서천군 마서면 금강로 1210,"기후 전시관 5곳, 고산 정원, 습지 산책로를 갖추고 있으며 다양한 동식물이 사는 생태 공원입니다."
9,서천식물예술원,충청남도 서천군 기산면 화출길42번길 17 KR 식물예술원,","
10,한국최초 성경전래지 기념관,충청남도 서천군 서면 서인로 89-16 KR,","
11,국립희리산해송자연휴양림,충청남도 서천군 종천면 산천리 산35-1,","
12,조류생태전시관,충청남도 서천군 마서면 도삼리 59,","
13,국립생태원 에코리움,충청남도 서천군 마서면 덕암리 392-2,","
