index,name,address,description,latitude,longitude,level
0,외암민속마을,충청남도 아산시 송악면 외암리 84,"석조 오두막, 민속 예술품, 마을에서 만든 운하가 있는 전통 산골 마을입니다.",0.0,0.0,5
1,곡교천 은행나무길,충청남도 아산시 염치읍 송곡리 243-2,",",0.0,0.0,5
2,아산 곡교천 은행나무길,충청남도 아산시 염치읍 백암리 259-2,",",0.0,0.0,5
3,지중해마을,충청남도 아산시 탕정면 탕정면로8번길 55-7,",",36.7977919,127.0605521,5
4,신정호국민관광지,충청남도 아산시 방축동 신정로 616,",",0.0,0.0,5
5,충남 아산 기쁨두배마을,충청남도 아산시 둔포면 석곡길 101,",",0.0,0.0,5
6,피나클랜드 수목원,충청남도 아산시 영인면 월선길 20-42 KR,",",0.0,0.0,5
7,신정호공원,충청남도 아산시 점양동,",",0.0,0.0,5
8,영인산자연휴양림,충청남도 아산시 영인면 아산온천로 16-26,",",0.0,0.0,5
9,신정호유원지,충청남도 아산시 방축동,",",0.0,0.0,5
10,강당골,충청남도 아산시 송악면 강당리,",",0.0,0.0,5
11,외암민속관,충청남도 아산시 송악면 강당리,",",0.0,0.0,5
12,은행나무길,충청남도 아산시 염치읍 백암리 291-9,",",37.755154,128.898505,5
13,송곡리은행나무길,충청남도 아산시 염치읍 송곡리 113-2,",",0.0,0.0,5
