index,name,address,description,latitude,longitude,level
0,각원사,충청남도 천안시 동남구 각원사길 245,",",36.83453545,127.19649001449636,5
1,미나릿길 벽화마을,충청남도 천안시 동남구 중앙동 미나릿길,",",0.0,0.0,5
2,아름다운정원 화수목,충청남도 천안시 동남구 목천읍 교천지산길 175,",",0.0,0.0,5
3,천호지,충청남도 천안시 동남구 신안동 470,",",36.8352602,127.1732727,5
4,아라리오갤러리 천안,충청남도 천안시 동남구 만남로 43,",",36.8192897,127.15788643864073,5
5,독립기념관,충청남도 천안시 동남구 목천읍 독립기념관로 1,일본 식민지 시대의 독립 운동과 한국 역사를 알 수 있는 박물관이며 4D 극장이 있습니다.,0.0,0.0,5
6,천안박물관,충청남도 천안시 동남구 삼룡동 천안대로 429-13,",",36.7866109,127.1633617695214,5
7,천안삼거리공원,충청남도 천안시 충절로 410,",",0.0,0.0,5
8,천안 영남루,충청남도 천안시 동남구 충절로 410,",",36.7838651,127.1671512,5
9,태조산공원,충청남도 천안시 동남구 태조산길 261,",",0.0,0.0,5
10,불당천,충청남도 천안시 서북구 불당동 1081,",",38.13458,127.20634,5
11,용주정,충청남도 천안시 동남구 중앙동 284-39,",",36.7991802,127.1488968,5
12,유관순열사유적지,충청남도 천안시 동남구 중앙동 284-39,",",0.0,0.0,5
13,우정박물관,충청남도 천안시 동남구 양지말길 11-14,",",36.814278,127.187549,5
