index,name,address,description,latitude,longitude,level
0,홍주읍성,충청남도 홍성군 홍성읍 오관리,",",0.0,0.0,4
1,속동전망대,충청남도 홍성군 서부면 상황리,",",0.0,0.0,4
2,속동갯벌마을,충청남도 홍성군 서부면 상황리 628-2,",",0.0,0.0,4
3,조양문,충청남도 홍성군 홍성읍 오관리 213,",",36.6020872,126.6636708,4
4,안회당과여하정,충청남도 홍성군 홍성읍 오관리 98,",",0.0,0.0,4
5,홍성조류탐사과학관,충청남도 홍성군 서부면 남당항로 934-14,",",0.0,0.0,4
6,홍성 홍주의사총,충청남도 홍성군 홍성읍 대교리 124-1,",",0.0,0.0,4
7,김좌진 장군 생가지,충청남도 홍성군 갈산면 행산리 330-1,",",0.0,0.0,4
8,용봉산 자연휴양림,충청남도 홍성군 홍북면 용봉산2길 87,",",0.0,0.0,4
9,국화동산,충청남도 홍성군 홍북면 신경리 887,",",0.0,0.0,4
10,한용운 선생 생가지,충청남도 홍성군 결성면 성곡리 492,",",0.0,0.0,4
11,노은단,충청남도 홍성군 홍북면 노은리 산21-2,",",0.0,0.0,4
12,용봉사,충청남도 홍성군 홍북면 노은리 산21-2,",",0.0,0.0,4
13,궁리항,충청남도 홍성군 서부면 궁리 540-82,",",0.0,0.0,4
