index,name,address,description,latitude,longitude,level
0,수옥폭포,충청북도 괴산군 연풍면 원풍리,",",0.0,0.0,3
1,갈은구곡,충청북도 괴산군 칠성면 사은리,",",0.0,0.0,3
2,연하협 구름다리,충청북도 괴산군 칠성면 사은리 940,",",0.0,0.0,3
3,갈론계곡,충청북도 괴산군 칠성면 사은리,",",0.0,0.0,3
4,괴산 문광저수지 은행나무길,충청북도 괴산군 문광면 괴산로양곡5길 15,",",0.0,0.0,3
5,목도강수욕장,충청북도 괴산군 불정면 목도리,",",0.0,0.0,3
6,초원의집,충청북도 괴산군 칠성면 연풍로쌍곡길 25-6,",",37.4758787,127.1878373,3
7,사담계곡,충청북도 괴산군 청천면 사담리,",",0.0,0.0,3
8,화양동관광농원,충청북도 괴산군 청천면 삼송리 392-9,",",0.0,0.0,3
9,하담 김시양 신도비,충청북도 괴산군 괴산읍 능촌리,",",0.0,0.0,3
10,성불산자연휴양림,충청북도 괴산군 괴산읍 검승리 산28-1,",",0.0,0.0,3
11,화양구곡,충청북도 괴산군 청천면 화양동길 202,",",36.6644876,127.8306427,3
12,제월대,충청북도 괴산군 청천면 화양동길 202,",",0.0,0.0,3
13,조령산자연휴양림,충청북도 괴산군 연풍면 원풍리,",",36.81522,128.052732,3
