index,name,address,description,latitude,longitude,level
0,영동와인터널,충청북도 영동군 힐링로 30,",",0.0,0.0,2
1,송호국민관광지,충청북도 영동군 양산면 송호로 105,",",0.0,0.0,2
2,양산팔경 금강둘레길,충청북도 영동군 양산면 송호로,",",0.0,0.0,2
3,물한계곡,충청북도 영동군 상촌면 물한리,",",0.0,0.0,2
4,옥계폭포,충청북도 영동군 심천면 고당리,",",0.0,0.0,2
5,영동영국사석종형부도,충청북도 영동군 양산면 누교리 1397,",",0.0,0.0,2
6,용두정,충청북도 영동군 영동읍 매천리 378-7,",",36.9816512,126.94348053651242,2
7,영동 한천정사,충청북도 영동군 황간면 원촌동1길 48,",",0.0,0.0,2
8,영동 포도터널,충청북도 영동군 영동읍 매천리 산3-15,",",0.0,0.0,2
9,노근리평화공원,충청북도 영동군 황간면 노근리 683-2,",",0.0,0.0,2
10,민주지산자연휴양림,충청북도 영동군 용화면 휴양림길 89,",",0.0,0.0,2
11,강선대,충청북도 영동군 양산면 봉곡리 756-1,",",0.0,0.0,2
12,난계국악박물관,충청북도 영동군 심천면 고당리 519-1,",",36.210222,127.704662,2
13,영동 난계사,충청북도 영동군 심천면 국악로 13-34,",",0.0,0.0,2
