index,name,address,description,latitude,longitude,level
0,정지용 시인 생가,충청북도 옥천군 옥천읍 하계리,",",0.0,0.0,3
1,육영수생가,충청북도 옥천군 옥천읍 향수길 119,",",0.0,0.0,3
2,부소담악(芙沼潭岳),충청북도 옥천군 군북면 추소리 234-2,",",0.0,0.0,3
3,장령산 자연휴양림,충청북도 옥천군 군서면 장령산로 519,",",0.0,0.0,3
4,장계관광지,충청북도 옥천군 안내면 장계1길 57,",",0.0,0.0,3
5,금강유원지,충청북도 옥천군 동이면 조령리 790-14,",",0.0,0.0,3
6,추소정(楸沼亭),충청북도 옥천군 군북면 추소리 263-3,",",0.0,0.0,3
7,청풍정,충청북도 옥천군 군북면 석호리 청풍정,",",35.3884048,127.9704361,3
8,옥천선사공원,충청북도 옥천군 옥천읍 수북리,",",0.0,0.0,3
9,옥천 이지당,충청북도 옥천군 군북면 이백리 33,",",0.0,0.0,3
10,정지용 문화원,충청북도 옥천군 옥천읍 중앙로 99,",",0.0,0.0,3
11,안터선사공원 (고인돌공원),충청북도 옥천군 옥천읍 중앙로 99,",",0.0,0.0,3
12,옥천 전통문화체험관,충청북도 옥천군 옥천읍 하계리 1-1,",",0.0,0.0,3
13,수생식물학습원,충청북도 옥천군 군북면 대정리 100-10,",",0.0,0.0,3
