,0,1,2
0,증평민속체험박물관,충청북도 증평군 증평읍 둔덕길 89,","
1,좌구산 휴양랜드 좌구산자연휴양림,충청북도 증평군 증평읍 솟점말길 107,","
2,좌구산 명상구름다리,충청북도 증평군 증평읍 율리,","
3,증평 어린이 자전거 공원,충청북도 증평군 증평읍 남하리 1017-36,","
4,좌구산천문대,충청북도 증평군 증평읍 솟점말길 187,","
5,증평 단군전,충청북도 증평군 증평읍 증평리,","
6,보강천 미루나무 숲,충청북도 증평군 증평읍 송산리 649-45,","
7,보강천체육공원,충청북도 증평군,","
8,별천지공원,충청북도 증평군 증평읍 율리 578,","
9,에뉴팜 관광특구,충청북도 증평군 도안면 연촌리 199-1,","
10,증평 배극렴 묘소,충청북도 증평군 증평읍 송산리,","
11,좌구산,충청북도 증평군 증평읍 율리 산60-1,","
12,증평시민공원,충청북도 증평군 증평읍 율리 산60-1,","
13,증평인삼관광휴게소,충청북도 증평군 증평읍 송산리 94-1,","
